Date,Day,Cases,Cases_RA,Date,doses
3/1/2020,1,14,,3/1/2020,0
3/2/2020,2,13,,3/2/2020,0
3/3/2020,3,22,,3/3/2020,0
3/4/2020,4,24,,3/4/2020,0
3/5/2020,5,26,,3/5/2020,0
3/6/2020,6,42,,3/6/2020,0
3/7/2020,7,48,27,3/7/2020,0
3/8/2020,8,63,34,3/8/2020,0
3/9/2020,9,124,50,3/9/2020,0
3/10/2020,10,156,69,3/10/2020,0
3/11/2020,11,201,94,3/11/2020,0
3/12/2020,12,273,130,3/12/2020,0
3/13/2020,13,362,175,3/13/2020,0
3/14/2020,14,375,222,3/14/2020,0
3/15/2020,15,477,281,3/15/2020,0
3/16/2020,16,710,365,3/16/2020,0
3/17/2020,17,787,455,3/17/2020,0
3/18/2020,18,896,554,3/18/2020,0
3/19/2020,19,767,625,3/19/2020,0
3/20/2020,20,962,711,3/20/2020,0
3/21/2020,21,806,772,3/21/2020,0
3/22/2020,22,813,820,3/22/2020,0
3/23/2020,23,1245,897,3/23/2020,0
3/24/2020,24,1099,941,3/24/2020,0
3/25/2020,25,1189,983,3/25/2020,0
3/26/2020,26,1155,1038,3/26/2020,0
3/27/2020,27,1305,1087,3/27/2020,0
3/28/2020,28,1050,1122,3/28/2020,0
3/29/2020,29,905,1135,3/29/2020,0
3/30/2020,30,1566,1181,3/30/2020,0
3/31/2020,31,1303,1210,3/31/2020,0
4/1/2020,32,1555,1263,4/1/2020,0
4/2/2020,33,1121,1258,4/2/2020,0
4/3/2020,34,1193,1242,4/3/2020,0
4/4/2020,35,997,1234,4/4/2020,0
4/5/2020,36,852,1227,4/5/2020,0
4/6/2020,37,1308,1190,4/6/2020,0
4/7/2020,38,1136,1166,4/7/2020,0
4/8/2020,39,1082,1098,4/8/2020,0
4/9/2020,40,992,1080,4/9/2020,0
4/10/2020,41,1041,1058,4/10/2020,0
4/11/2020,42,790,1029,4/11/2020,0
4/12/2020,43,662,1002,4/12/2020,0
4/13/2020,44,1030,962,4/13/2020,0
4/14/2020,45,896,928,4/14/2020,0
4/15/2020,46,923,905,4/15/2020,0
4/16/2020,47,936,897,4/16/2020,0
4/17/2020,48,885,875,4/17/2020,0
4/18/2020,49,721,865,4/18/2020,0
4/19/2020,50,531,846,4/19/2020,0
4/20/2020,51,955,835,4/20/2020,0
4/21/2020,52,1165,874,4/21/2020,0
4/22/2020,53,1193,912,4/22/2020,0
4/23/2020,54,946,914,4/23/2020,0
4/24/2020,55,1043,936,4/24/2020,0
4/25/2020,56,532,909,4/25/2020,0
4/26/2020,57,534,910,4/26/2020,0
4/27/2020,58,964,911,4/27/2020,0
4/28/2020,59,896,873,4/28/2020,0
4/29/2020,60,1043,851,4/29/2020,0
4/30/2020,61,1092,872,4/30/2020,0
5/1/2020,62,824,841,5/1/2020,0
5/2/2020,63,460,830,5/2/2020,0
5/3/2020,64,373,807,5/3/2020,0
5/4/2020,65,900,798,5/4/2020,0
5/5/2020,66,926,803,5/5/2020,0
5/6/2020,67,914,784,5/6/2020,0
5/7/2020,68,733,733,5/7/2020,0
5/8/2020,69,1031,762,5/8/2020,0
5/9/2020,70,610,784,5/9/2020,0
5/10/2020,71,316,776,5/10/2020,0
5/11/2020,72,1548,868,5/11/2020,0
5/12/2020,73,1760,987,5/12/2020,0
5/13/2020,74,893,984,5/13/2020,0
5/14/2020,75,830,998,5/14/2020,0
5/15/2020,76,1770,1104,5/15/2020,0
5/16/2020,77,409,1075,5/16/2020,0
5/17/2020,78,274,1069,5/17/2020,0
5/18/2020,79,1445,1054,5/18/2020,0
5/19/2020,80,923,935,5/19/2020,0
5/20/2020,81,612,895,5/20/2020,0
5/21/2020,82,534,852,5/21/2020,0
5/22/2020,83,962,737,5/22/2020,0
5/23/2020,84,252,715,5/23/2020,0
5/24/2020,85,189,702,5/24/2020,0
5/25/2020,86,206,525,5/25/2020,0
5/26/2020,87,553,473,5/26/2020,0
5/27/2020,88,536,462,5/27/2020,0
5/28/2020,89,460,451,5/28/2020,0
5/29/2020,90,422,374,5/29/2020,0
5/30/2020,91,258,375,5/30/2020,0
5/31/2020,92,205,377,5/31/2020,0
6/1/2020,93,387,403,6/1/2020,0
6/2/2020,94,438,387,6/2/2020,0
6/3/2020,95,357,361,6/3/2020,0
6/4/2020,96,364,347,6/4/2020,0
6/5/2020,97,292,329,6/5/2020,0
6/6/2020,98,195,320,6/6/2020,0
6/7/2020,99,155,313,6/7/2020,0
6/8/2020,100,427,318,6/8/2020,0
6/9/2020,101,335,304,6/9/2020,0
6/10/2020,102,339,301,6/10/2020,0
6/11/2020,103,294,291,6/11/2020,0
6/12/2020,104,349,299,6/12/2020,0
6/13/2020,105,220,303,6/13/2020,0
6/14/2020,106,168,305,6/14/2020,0
6/15/2020,107,376,297,6/15/2020,0
6/16/2020,108,421,310,6/16/2020,0
6/17/2020,109,510,334,6/17/2020,0
6/18/2020,110,378,346,6/18/2020,0
6/19/2020,111,451,361,6/19/2020,0
6/20/2020,112,266,367,6/20/2020,0
6/21/2020,113,289,384,6/21/2020,0
6/22/2020,114,626,420,6/22/2020,0
6/23/2020,115,713,462,6/23/2020,0
6/24/2020,116,710,490,6/24/2020,0
6/25/2020,117,730,541,6/25/2020,0
6/26/2020,118,664,571,6/26/2020,0
6/27/2020,119,459,599,6/27/2020,0
6/28/2020,120,395,614,6/28/2020,0
6/29/2020,121,897,653,6/29/2020,0
6/30/2020,122,868,675,6/30/2020,0
7/1/2020,123,919,705,7/1/2020,0
7/2/2020,124,769,710,7/2/2020,0
7/3/2020,125,596,700,7/3/2020,0
7/4/2020,126,386,690,7/4/2020,0
7/5/2020,127,496,704,7/5/2020,0
7/6/2020,128,983,717,7/6/2020,0
7/7/2020,129,948,728,7/7/2020,0
7/8/2020,130,980,737,7/8/2020,0
7/9/2020,131,870,751,7/9/2020,0
7/10/2020,132,865,790,7/10/2020,0
7/11/2020,133,597,820,7/11/2020,0
7/12/2020,134,527,824,7/12/2020,0
7/13/2020,135,1087,839,7/13/2020,0
7/14/2020,136,962,841,7/14/2020,0
7/15/2020,137,1010,845,7/15/2020,0
7/16/2020,138,932,854,7/16/2020,0
7/17/2020,139,819,848,7/17/2020,0
7/18/2020,140,575,845,7/18/2020,0
7/19/2020,141,466,836,7/19/2020,0
7/20/2020,142,1021,826,7/20/2020,0
7/21/2020,143,927,821,7/21/2020,0
7/22/2020,144,987,818,7/22/2020,0
7/23/2020,145,844,806,7/23/2020,0
7/24/2020,146,846,809,7/24/2020,0
7/25/2020,147,556,807,7/25/2020,0
7/26/2020,148,455,805,7/26/2020,0
7/27/2020,149,950,795,7/27/2020,0
7/28/2020,150,906,792,7/28/2020,0
7/29/2020,151,927,783,7/29/2020,0
7/30/2020,152,871,787,7/30/2020,0
7/31/2020,153,885,793,7/31/2020,0
8/1/2020,154,650,806,8/1/2020,0
8/2/2020,155,536,818,8/2/2020,0
8/3/2020,156,1006,826,8/3/2020,0
8/4/2020,157,975,836,8/4/2020,0
8/5/2020,158,887,830,8/5/2020,0
8/6/2020,159,825,823,8/6/2020,0
8/7/2020,160,823,815,8/7/2020,0
8/8/2020,161,653,815,8/8/2020,0
8/9/2020,162,575,821,8/9/2020,0
8/10/2020,163,1075,830,8/10/2020,0
8/11/2020,164,962,829,8/11/2020,0
8/12/2020,165,931,835,8/12/2020,0
8/13/2020,166,838,837,8/13/2020,0
8/14/2020,167,847,840,8/14/2020,0
8/15/2020,168,619,835,8/15/2020,0
8/16/2020,169,505,825,8/16/2020,0
8/17/2020,170,984,812,8/17/2020,0
8/18/2020,171,857,797,8/18/2020,0
8/19/2020,172,843,785,8/19/2020,0
8/20/2020,173,812,781,8/20/2020,0
8/21/2020,174,849,781,8/21/2020,0
8/22/2020,175,618,781,8/22/2020,0
8/23/2020,176,604,795,8/23/2020,0
8/24/2020,177,968,793,8/24/2020,0
8/25/2020,178,864,794,8/25/2020,0
8/26/2020,179,807,789,8/26/2020,0
8/27/2020,180,755,781,8/27/2020,0
8/28/2020,181,815,776,8/28/2020,0
8/29/2020,182,673,784,8/29/2020,0
8/30/2020,183,523,772,8/30/2020,0
8/31/2020,184,908,764,8/31/2020,0
9/1/2020,185,951,776,9/1/2020,0
9/2/2020,186,922,792,9/2/2020,0
9/3/2020,187,815,801,9/3/2020,0
9/4/2020,188,758,793,9/4/2020,0
9/5/2020,189,576,779,9/5/2020,0
9/6/2020,190,480,773,9/6/2020,0
9/7/2020,191,608,730,9/7/2020,0
9/8/2020,192,980,734,9/8/2020,0
9/9/2020,193,980,742,9/9/2020,0
9/10/2020,194,846,747,9/10/2020,0
9/11/2020,195,908,768,9/11/2020,0
9/12/2020,196,651,779,9/12/2020,0
9/13/2020,197,634,801,9/13/2020,0
9/14/2020,198,995,856,9/14/2020,0
9/15/2020,199,1006,860,9/15/2020,0
9/16/2020,200,1023,866,9/16/2020,0
9/17/2020,201,908,875,9/17/2020,0
9/18/2020,202,931,878,9/18/2020,0
9/19/2020,203,631,875,9/19/2020,0
